ENSEMBL_GENE_ID,baseMean__NASHF12vsNAFL+F0,log2FoldChange__NASHF12vsNAFL+F0,pvalue__NASHF12vsNAFL+F0,padj__NASHF12vsNAFL+F0,baseMean__NASHF34vsNAFL+F0,log2FoldChange__NASHF34vsNAFL+F0,pvalue__NASHF34vsNAFL+F0,padj__NASHF34vsNAFL+F0,external_gene_name
ENSG00000000003,2379,0.046334407,4.01E-01,8.88E-01,2419,0.075546046,2.54E-01,5.32E-01,TSPAN6
ENSG00000000005,4,-0.639640825,0.220169033,0.805146953,4,-0.350061273,0.562245733,0.793679495,TNMD
ENSG00000000419,525,0.040382722,0.516065638,0.919530435,539,0.047992737,0.55174135,0.787608137,DPM1
ENSG00000000457,341,-0.006703109,0.87393393,0.983185169,346,-0.02165707,0.670824312,0.857540753,SCYL3
ENSG00000000460,94,0.209502481,0.042727881,0.556729683,92,0.160800548,0.193642479,0.459917977,C1orf112
ENSG00000000938,118,0.163142469,0.08045855,0.658764813,118,0.179360015,0.118188598,0.342046628,FGR
ENSG00000000971,54840,0.017513441,0.814917726,0.975139464,53287,-0.009505078,0.924187422,0.97119378,CFH
ENSG00000001036,895,0.074256773,0.15137985,0.744356014,954,0.159438709,6.45E-03,0.050892365,FUCA2
ENSG00000001084,2740,0.012789915,0.848341106,0.98130324,2584,-0.125161587,0.141777751,0.38252635,GCLC
ENSG00000001167,341,0.000693229,0.987862739,0.997986307,346,0.022615324,0.6841756,0.864687695,NFYA
ENSG00000001460,33,0.011077388,0.887461525,0.985557898,36,0.216510142,0.023499157,0.12366601,STPG1
ENSG00000001461,179,0.074726737,0.210559378,0.803295658,188,0.190623316,0.007706194,0.057723599,NIPAL3
ENSG00000001497,483,-0.035739441,0.336641259,0.862116763,480,-0.064769164,1.33E-01,3.69E-01,LAS1L
ENSG00000001561,226,0.105812916,0.45114008,0.902681136,232,0.227898862,0.157139431,0.407526226,ENPP4
ENSG00000001617,79,-0.080523767,0.385462254,0.882708764,78,-0.105571609,0.356399059,0.637175754,SEMA3F
ENSG00000001626,90,-0.076962245,0.676030903,0.951585636,163,1.233187485,8.99E-08,7.58E-06,CFTR
ENSG00000001629,413,0.036406616,0.523973276,0.920956592,423,0.077883845,0.238605478,0.514565221,ANKIB1
ENSG00000001630,106,0.18265114,0.431713042,0.898170169,100,-0.077587909,0.796488083,0.919500812,CYP51A1
ENSG00000001631,381,0.04424019,0.503577247,0.91561983,371,-0.016151255,0.848634514,0.941787527,KRIT1
ENSG00000002016,126,-0.051133538,0.551294059,0.926135281,140,-0.015428349,0.86748376,0.949218971,RAD52
ENSG00000002330,366,-0.115339795,0.292217395,0.843125946,357,-0.193914174,0.083011426,0.276503797,BAD
ENSG00000002549,2983,-0.038611037,0.568339596,0.931215765,2927,-0.082428947,3.73E-01,0.653295864,LAP3
ENSG00000002586,1883,-0.104289337,0.067103141,0.630489958,1933,-0.059540542,0.415387862,0.688387368,CD99
ENSG00000002587,5,-0.0563797,0.793569827,0.973093918,9,0.86728902,4.74E-04,0.007408522,HS3ST1
ENSG00000002726,188,0.27078624,0.597537819,0.937938937,145,-0.378823096,0.529930659,0.772728016,AOC1
ENSG00000002746,4,0.893694766,0.002587904,0.225538032,6,1.844810723,2.76E-09,4.41E-07,HECW1
ENSG00000002822,204,-0.048902767,0.671110105,0.951115005,188,-0.359360407,0.004095677,0.036645258,MAD1L1
ENSG00000002834,2441,0.061601665,0.230471005,0.812700845,2486,0.058860263,0.276836071,0.556089583,LASP1
ENSG00000002919,292,0.05560546,0.292142831,0.843125946,295,0.043009515,0.444120543,0.710148051,SNX11
ENSG00000002933,10068,-0.102039984,0.260368186,0.829837625,10144,-0.13165363,0.156988216,0.4072328,TMEM176A
ENSG00000003056,937,0.087682592,0.324162185,0.855527916,903,0.053769724,6.39E-01,8.39E-01,M6PR
ENSG00000003096,96,0.051180242,0.688474296,0.952332966,102,0.090132203,0.572049063,0.799445714,KLHL13
ENSG00000003137,18,0.343919204,0.15518726,0.747956247,19,0.432316465,0.094820285,0.300339112,CYP26B1
ENSG00000003147,183,-0.1582124,0.46202464,0.904589309,189,-0.090948161,0.665467713,0.854816667,ICA1
ENSG00000003249,58,0.038626955,0.772242615,0.969211962,83,0.642938622,0.000823365,0.011262312,DBNDD1
ENSG00000003393,928,0.026104272,0.590103501,0.936603153,918,-0.013449099,0.823377476,0.930943372,ALS2
ENSG00000003400,259,0.083552209,0.06531862,0.627387832,258,0.0348268,0.496948104,0.749574194,CASP10
ENSG00000003402,1234,0.059388579,2.03E-01,8.00E-01,1201,-0.00484127,9.21E-01,0.970452805,CFLAR
ENSG00000003436,3788,-0.098058029,3.08E-01,8.51E-01,3757,-0.151648046,1.28E-01,0.35854777,TFPI
