ENSEMBL_GENE_ID,baseMean__NAFL+NASHF0vsCTRL,log2FoldChange__NAFL+NASHF0vsCTRL,pvalue__NAFL+NASHF0vsCTRL,padj__NAFL+NASHF0vsCTRL,baseMean__NASHF12vsNAFL+F0,log2FoldChange__NASHF12vsNAFL+F0,pvalue__NASHF12vsNAFL+F0,padj__NASHF12vsNAFL+F0,baseMean__NASHF34vsNAFL+F0,log2FoldChange__NASHF34vsNAFL+F0,pvalue__NASHF34vsNAFL+F0,padj__NASHF34vsNAFL+F0,external_gene_name
ENSG00000000003,1381.04955,0.032432531,8.00E-01,9.17E-01,1018,0.014553418,7.52E-01,9.11E-01,1047,0.057180481,4.09E-01,5.94E-01,TSPAN6
ENSG00000000005,5.619681647,-0.345506637,0.585257246,NA,3,-0.218689597,0.399097742,0.708928485,5,0.210453385,0.585467139,0.74077543,TNMD
ENSG00000000419,286.7810998,0.232826783,0.04315571,0.217774797,222,0.055960787,0.201883284,0.526916762,228,0.106213827,0.164444361,0.333897973,DPM1
ENSG00000000457,500.326559,-0.025244151,6.56E-01,8.46E-01,337,-0.110887083,0.00018353,0.017232541,354,-0.129732126,0.001234404,0.01271973,SCYL3
ENSG00000000460,194.4754384,-0.099973217,0.532661365,0.773342134,122,-0.158607661,0.048382436,0.273163842,126,-0.219345008,0.014522534,0.066065723,C1orf112
ENSG00000000938,68.18061757,0.322056676,0.231262037,0.523181699,61,0.2414826,0.014862058,0.155327202,61,0.260666857,0.044501994,0.142206372,FGR
ENSG00000000971,46318.45227,0.121552218,0.225437564,0.516711851,32927,-0.064596056,0.15506851,0.471317276,33716,-0.094408655,0.120962087,0.27389823,CFH
ENSG00000001036,485.6052833,-0.05551774,0.533030677,0.773638999,380,0.122088493,0.003954447,0.079752695,402,0.306536948,1.62E-05,0.000605841,FUCA2
ENSG00000001084,2501.6872,-0.284357974,1.88E-02,1.38E-01,1854,0.018422467,0.710080325,0.891847469,1776,-0.1511839,0.033734945,0.116753122,GCLC
ENSG00000001167,278.8224887,-0.092865213,0.346731814,0.636044695,232,0.064878747,0.126172402,0.427318899,232,0.089748938,0.13870611,0.299145183,NFYA
ENSG00000001460,110.4215154,0.019494117,0.873410477,0.950002725,67,-0.005626882,0.926830181,0.975063296,75,0.038084753,0.668830441,0.801187971,STPG1
ENSG00000001461,263.4395377,0.035979513,0.733931603,0.88717007,185,0.018383386,0.632692989,0.852948998,191,-0.099116226,0.106839719,0.253210134,NIPAL3
ENSG00000001497,241.0348774,0.083453851,0.391529895,0.672285479,174,-0.053349769,0.131966852,0.437972853,176,-0.180827723,4.66E-04,6.43E-03,LAS1L
ENSG00000001561,248.5895889,0.758086231,0.001111001,0.027720687,201,0.043116947,0.552452702,0.811220024,198,0.062952228,0.534818315,0.702064753,ENPP4
ENSG00000001617,95.12481295,0.442256839,0.051625486,0.241498374,78,-0.059934975,0.496840031,0.777813061,74,-0.243800329,0.045494268,0.14421354,SEMA3F
ENSG00000001626,173.5600343,0.074411641,0.632428901,0.832997999,133,0.160741102,0.105415406,0.392193975,177,0.735334299,2.67E-03,0.021528258,CFTR
ENSG00000001629,632.6858754,-0.103576425,0.328850267,0.61958883,487,0.062728403,0.08858417,0.361753607,495,0.096580011,0.041304664,0.134842699,ANKIB1
ENSG00000001630,3937.778517,0.723460391,0.036798279,0.200136715,2641,0.269664115,0.147221418,0.46032427,2922,0.38838317,0.127251079,0.282564471,CYP51A1
ENSG00000001631,730.5900351,-0.043210837,0.660560027,0.847357062,521,0.003859895,0.914397929,0.970904067,523,-0.094965763,0.087593391,0.222135676,KRIT1
ENSG00000002016,206.2563853,-0.2981084,0.013346954,0.111752575,142,-0.068757078,0.186174922,0.510253266,142,-0.253311925,0.000784087,0.009176721,RAD52
ENSG00000002330,157.337161,0.007163158,0.95986868,0.983549306,117,-0.041706433,0.448324574,0.743879596,127,0.05038963,0.680527869,0.808509619,BAD
ENSG00000002549,1865.161444,0.090440604,0.483285492,0.73939582,1367,-0.002854822,0.957242116,0.984043801,1373,-0.111863448,1.30E-01,0.286227954,LAP3
ENSG00000002586,943.6568147,-0.012475313,0.861267552,0.945693141,710,-0.032898519,0.307756296,0.637714103,742,0.134978973,0.037193918,0.125034873,CD99
ENSG00000002587,28.59559124,0.201979851,0.320805411,0.612009207,22,0.204907251,0.141035327,0.451568773,26,0.826253217,7.14E-05,0.001712338,HS3ST1
