SYMBOL,baseMean_6N-WD-C0.2-FG-9W,log2FoldChange_6N-WD-C0.2-FG-9W,pvalue_6N-WD-C0.2-FG-9W,padj_6N-WD-C0.2-FG-9W,baseMean_6N-WD-C0.2-FG-29W,log2FoldChange_6N-WD-C0.2-FG-29W,pvalue_6N-WD-C0.2-FG-29W,padj_6N-WD-C0.2-FG-29W
0610007P14Rik,7.645526737,-0.492013198,6.25E-10,6.96E-08,7.645526737,-0.474643077,2.03E-09,3.41E-08
0610009B22Rik,7.392252121,0.036208857,0.426719155,0.639497635,7.392252121,-0.033299872,0.465807019,0.600650578
0610009D07Rik,5.71374803,0.00543321,0.938575478,0.9690544,5.71374803,-0.108721924,0.126709483,0.248194221
0610009O20Rik,6.725607077,0.241970121,3.24E-07,1.42E-05,6.725607077,-0.016068982,0.713622529,0.800234853
0610010B08Rik,7.865244329,-0.206204493,0.010572464,0.05418627,7.865244329,0.107689759,0.176655431,0.310184114
0610010F05Rik,5.590593074,-0.103634336,0.115468601,0.2847814,5.590593074,0.08991456,0.172325076,0.305567617
0610010K14Rik,6.935870935,0.101762785,0.002327998,0.017661936,6.935870935,-0.007073376,0.828074611,0.883992936
0610011F06Rik,8.06202823,0.083439292,0.074812581,0.213477732,8.06202823,-0.150110884,0.001734839,0.008695704
0610012H03Rik,7.566108522,0.402328764,3.03E-06,8.93E-05,7.566108522,-0.018015166,0.823454069,0.881093565
0610030E20Rik,6.949054664,0.005213457,0.913991374,0.956179304,6.949054664,-0.125888912,0.010769199,0.03985187
0610031J06Rik,7.19803728,0.091194364,0.126125757,0.30076142,7.19803728,0.241692748,0.000101642,0.000702034
0610037L13Rik,6.147647356,-0.010496507,0.753364661,0.870783654,6.147647356,0.027085286,0.419466447,0.558752663
0610040J01Rik,6.600699015,0.019549774,0.667489791,0.81759755,6.600699015,-0.226515803,3.40E-06,3.23E-05
1100001G20Rik,10.19417242,-0.010832212,0.919738455,0.959042833,10.19417242,-0.402217896,0.000334661,0.002061988
1110001A16Rik,6.335494094,0.149642896,0.003390873,0.023485949,6.335494094,-0.032294439,0.517822294,0.644317953
1110001J03Rik,5.555627913,0.051595126,0.2906815,0.510515989,5.555627913,-0.216711509,2.61E-05,0.000205069
1110004E09Rik,6.14997441,0.01458194,0.619706659,0.786706563,6.14997441,-0.062608864,0.035864049,0.101172166
1110004F10Rik,7.287269849,-0.115515971,0.028698455,0.1100581,7.287269849,-0.050787725,0.331696804,0.47838238
1110007C09Rik,6.8987263,0.080858027,0.034096162,0.124316376,6.8987263,0.076273489,0.045850503,0.120858631
1110008F13Rik,8.566711836,0.119430381,0.038778883,0.13621643,8.566711836,-0.061765178,0.281833809,0.427509451
1110008J03Rik,5.341222473,0.019630029,0.591861762,0.767742102,5.341222473,-0.096726736,0.009767347,0.036895763
1110008L16Rik,5.96118887,-0.080221895,0.061741865,0.188160707,5.96118887,-0.188536675,2.77E-05,0.000216872
1110008P14Rik,6.685229534,0.227802865,0.001398943,0.011918998,6.685229534,0.094628447,0.174368174,0.307416634
1110012L19Rik,5.73558477,-0.005656518,0.888667661,0.943748906,5.73558477,-0.130081327,0.00182828,0.009095025
1110025L11Rik,2.145486153,0.037584857,0.548474035,0.737341172,2.145486153,-0.057406501,0.361323882,0.505101768
1110032A03Rik,6.30746138,-0.131882587,0.042221394,0.144825664,6.30746138,-0.191844745,0.003634528,0.016314609
1110032F04Rik,4.86296975,-0.032172351,0.602609146,0.774830657,4.86296975,-0.17126356,0.006822578,0.02754128
1110034G24Rik,4.58163673,-0.00791401,0.838154002,0.918205543,4.58163673,-0.020897771,0.590870618,0.70551875
1110037F02Rik,6.117026749,-0.052377826,0.292609019,0.51263902,6.117026749,0.07338472,0.142631086,0.268240689
1110038F14Rik,5.99087649,0.109428218,0.032024363,0.119108263,5.99087649,0.000744718,0.988223162,0.992582528
1110051M20Rik,4.343679604,-0.023999787,0.366687569,0.586824532,4.343679604,0.124328277,1.07E-05,9.19E-05
1110057K04Rik,7.460904377,-0.031939968,0.689231727,0.830979384,7.460904377,-0.122132067,0.129693427,0.251847573
1110058L19Rik,4.595970524,0.048528678,0.429393614,0.641962703,4.595970524,-0.206662795,0.00113328,0.006033096
1110059E24Rik,4.835161388,-0.05246448,0.092611949,0.245786455,4.835161388,-0.021164929,0.495476516,0.626309381
1110059G10Rik,4.538392642,-0.028699413,0.582246284,0.761800048,4.538392642,-0.116170685,0.028473254,0.084803292
1110059M19Rik,2.901329585,-0.097002275,0.074987169,0.213729617,2.901329585,-0.00954929,0.859885115,0.907531794
1110065P20Rik,6.446226747,0.123924662,0.009809473,0.051166178,6.446226747,-0.02839786,0.54730789,0.668905602
1190002N15Rik,7.722714594,0.424518159,0.000296687,0.003618888,7.722714594,0.470437696,7.30E-05,0.000523035
1190003J15Rik,7.926300976,-0.095198824,0.060691389,0.185870273,7.926300976,-0.222710021,2.79E-05,0.000218329
1190003K10Rik,3.037705877,-0.078591889,0.265179149,0.482311481,3.037705877,-0.027233117,0.699204372,0.788620362
1190005I06Rik,6.112552771,0.143670534,0.004159322,0.027482322,6.112552771,-0.056461443,0.251201536,0.396013717
1190007I07Rik,6.410467456,0.047708904,0.151553243,0.34006776,6.410467456,-0.07178224,0.032703056,0.09419604
1200011I18Rik,6.223357886,-0.030887096,0.665925051,0.817052297,6.223357886,0.029821579,0.67755223,0.77242358
1200014J11Rik,5.651572624,-0.036579273,0.323499578,0.544868901,5.651572624,-0.041711295,0.261879848,0.406773144
1300002K09Rik,8.384474843,-0.170346666,0.008949435,0.047913338,8.384474843,-0.160602817,0.01374162,0.048487309
1300017J02Rik,9.818844015,-0.203410341,0.001724769,0.014051851,9.818844015,-0.20851475,0.001373316,0.007127067
1300018J18Rik,7.600234431,-0.01383283,0.861755226,0.930877688,7.600234431,-0.231096618,0.0046323,0.020013355
1500009L16Rik,4.415895128,-0.097120057,0.07692809,0.217602248,4.415895128,-0.133766437,0.015949436,0.054397792
1500012F01Rik,5.376101017,0.002812976,0.936651791,0.967823031,5.376101017,0.040135734,0.25984196,0.405036937
1500015O10Rik,4.652045149,-0.038384683,0.458265728,0.66514075,4.652045149,-0.044237399,0.394127206,0.534780863
1600002H07Rik,7.935187898,-0.24428936,0.021609349,0.090460607,7.935187898,-0.629795417,4.60E-08,6.18E-07
1600002K03Rik,5.119858108,0.055200768,0.248840796,0.463731398,5.119858108,-0.126334728,0.009614955,0.036447623
1600012H06Rik,5.155619791,0.192731314,4.50E-07,1.87E-05,5.155619791,0.083108044,0.02077434,0.066707555
1600014C10Rik,7.765554404,0.180223075,0.000320935,0.003839015,7.765554404,0.061551551,0.20434031,0.343526877
1600014C23Rik,4.448968499,-0.022076304,0.7213059,0.85130629,4.448968499,-0.150856982,0.016842834,0.056722151
1600014K23Rik,5.665307766,0.034879501,0.586343725,0.763781248,5.665307766,-0.113511667,0.07987038,0.179631128
1600015I10Rik,3.602184949,-0.076850109,0.190761388,0.392177712,3.602184949,-0.038040278,0.516655183,0.643245991
1600029D21Rik,5.426359091,-0.124865268,0.122563915,0.295325215,5.426359091,0.635808671,9.54E-12,2.35E-10
1700001C02Rik,5.195016757,-0.060577342,0.174203992,0.370949682,5.195016757,-0.067749177,0.130089618,0.252315656
1700001C19Rik,6.672116476,0.070798418,0.142795321,0.327009538,6.672116476,-0.303153117,1.27E-08,1.87E-07
1700001F09Rik,3.376459356,-0.470477844,0.000936074,0.008767226,3.376459356,-0.062600469,0.649871618,0.75203335
1700001J03Rik,3.763216958,-0.100969604,0.157889765,0.349339702,3.763216958,-0.059505135,0.404597225,0.544696645
1700001K19Rik,3.870958771,0.003301376,0.957525447,0.978166241,3.870958771,-0.129011424,0.040415552,0.110274334
1700001L19Rik,3.966952047,0.029753125,0.584985377,0.763019381,3.966952047,-0.051085875,0.350484304,0.495328042
1700001O22Rik,4.939097173,0.097884033,0.020199605,0.086388462,4.939097173,-0.092593046,0.028139138,0.083984962
1700001P01Rik,4.006883846,0.025759034,0.646858501,0.805503941,4.006883846,-0.084560654,0.135986903,0.259758913
1700003E16Rik,4.777553672,0.061465435,0.199146312,0.403649935,4.777553672,-0.053332443,0.265862546,0.410947083
1700003F12Rik,6.319290532,-0.016667423,0.715188972,0.847653105,6.319290532,-0.044621529,0.331057301,0.477807948
1700003M02Rik,3.655413911,-0.008482034,0.840974673,0.919566532,3.655413911,-0.039803445,0.348875395,0.494163225
1700006A11Rik,2.330755643,0.02318045,0.459538794,0.666300979,2.330755643,-0.036945401,0.240868442,0.384675894
1700006E09Rik,3.000176925,-0.037533049,0.362884574,0.583519809,3.000176925,-0.053299571,0.198597941,0.336673224
1700007B14Rik,2.613615288,0.011329026,0.770787132,0.88022799,2.613615288,-0.06011632,0.125659615,0.246576654
1700007G11Rik,3.315126465,0.103998515,0.033250482,0.122288894,3.315126465,-0.094529089,0.052999362,0.133706617
1700007K09Rik,2.28710218,-0.070576169,0.032086363,0.119249301,2.28710218,-0.119732667,0.000401811,0.002422974
1700007K13Rik,3.632088345,-0.022358224,0.667499379,0.81759755,3.632088345,0.001904878,0.97086256,0.981421957
1700008A04Rik,5.024155414,0.04134615,0.339245906,0.561085594,5.024155414,-0.042288353,0.329645942,0.476326244
1700008F21Rik,2.437612475,-0.043269745,0.095626728,0.251229424,2.437612475,-0.048083925,0.065241899,0.155203167
1700008I05Rik,2.356018771,0.003406605,0.908093818,0.953130421,2.356018771,-0.036074086,0.224770234,0.366972189
1700008O03Rik,5.396761592,0.074354349,0.103941981,0.265881546,5.396761592,-0.050058251,0.272757293,0.418031686
1700008P02Rik,2.592359278,0.005282208,0.919565713,0.959022702,2.592359278,-0.065341648,0.21491452,0.355540481
1700009N14Rik,3.749626772,-0.031000691,0.544091216,0.734239587,3.749626772,-0.040691616,0.427423822,0.565974532
1700009P17Rik,5.206407517,0.022972472,0.516189066,0.712656065,5.206407517,0.068797884,0.054847048,0.137179947
1700010B08Rik,4.787985929,-0.040713517,0.578422487,0.758816635,4.787985929,-0.169981831,0.022622719,0.071347466
