Pathways,Liver related
KEGG_ABC_TRANSPORTERS,1
KEGG_ADHERENS_JUNCTION,1
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,1
KEGG_AGE_RAGE_SIGNALING_PATHWAY_IN_DIABETIC_COMPLICATIONS,1
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,1
KEGG_ALCOHOLISM,1
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION,1
KEGG_ALDOSTERONE_SYNTHESIS_AND_SECRETION,1
KEGG_ALLOGRAFT_REJECTION,1
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM,1
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM,1
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS,1
KEGG_AMPHETAMINE_ADDICTION,1
KEGG_AMPK_SIGNALING_PATHWAY,1
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION,1
KEGG_APELIN_SIGNALING_PATHWAY,1
KEGG_APOPTOSIS,1
KEGG_APOPTOSIS_MULTIPLE_SPECIES,1
KEGG_ARACHIDONIC_ACID_METABOLISM,1
KEGG_ARGININE_AND_PROLINE_METABOLISM,1
KEGG_ARGININE_BIOSYNTHESIS,1
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM,1
KEGG_AUTOPHAGY_ANIMAL,1
KEGG_AUTOPHAGY_OTHER,1
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY,1
KEGG_BACTERIAL_INVASION_OF_EPITHELIAL_CELLS,1
KEGG_BASAL_TRANSCRIPTION_FACTORS,1
KEGG_BASE_EXCISION_REPAIR,1
KEGG_BETA_ALANINE_METABOLISM,1
KEGG_BILE_SECRETION,1
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS,1
KEGG_BUTANOATE_METABOLISM,1
KEGG_C_TYPE_LECTIN_RECEPTOR_SIGNALING_PATHWAY,1
KEGG_CALCIUM_SIGNALING_PATHWAY,1
KEGG_CAMP_SIGNALING_PATHWAY,1
KEGG_CARBOHYDRATE_DIGESTION_AND_ABSORPTION,1
KEGG_CELL_ADHESION_MOLECULES_CAMS,1
KEGG_CELL_CYCLE,1
KEGG_CELLULAR_SENESCENCE,1
KEGG_CENTRAL_CARBON_METABOLISM_IN_CANCER,1
KEGG_CGMP_PKG_SIGNALING_PATHWAY,1
KEGG_CHEMICAL_CARCINOGENESIS,1
KEGG_CHEMOKINE_SIGNALING_PATHWAY,1
KEGG_CHOLESTEROL_METABOLISM,1
KEGG_CHOLINE_METABOLISM_IN_CANCER,1
KEGG_CHOLINERGIC_SYNAPSE,1
