Human Marker Symbol	Human Entrez Gene ID	HomoloGene ID	Mouse Marker Symbol	MGI Marker Accession ID	High-level Mammalian Phenotype ID (space-delimited)
A1BG	1	11167	A1bg	  MGI:2152878	
A1CF	29974	16363	A1cf	  MGI:1917115	  MP:0005385 MP:0010768 MP:0005369 MP:0005384
A2M	2	37248	A2m	  MGI:2449119	
A3GALT2	127550	16326	A3galt2	  MGI:2685279	
A4GALT	53947	9690	A4galt	  MGI:3512453	  MP:0005386 MP:0010768 MP:0005376
A4GNT	51146	87446	A4gnt	  MGI:2143261	  MP:0005384 MP:0002006 MP:0005385 MP:0005381 MP:0005387
AAAS	8086	9232	Aaas	  MGI:2443767	  MP:0005389 MP:0005386 MP:0005378
AACS	65985	11322	Aacs	  MGI:1926144	
AADAC	13	37436	Aadac	  MGI:1915008	
AADACL2	344752	28634	Aadacl2	  MGI:3646333	
AADACL3	126767	28426	Aadacl3	  MGI:2685281	
AADACL4	343066	82530	Aadacl4	  MGI:3650257	
AADAT	51166	56540	Aadat	  MGI:1345167	  MP:0005386 MP:0003631 MP:0005391
AAGAB	79719	11648	Aagab	  MGI:1914189	
AAK1	22848	128746	Aak1	  MGI:1098687	  MP:0005376 MP:0005397 MP:0005377 MP:0005371 MP:0005391 MP:0005390 MP:0005386 MP:0010768 MP:0005385
AAMDC	28971	11658	Aamdc	  MGI:1913523	
AAMP	14	846	Aamp	  MGI:107809	
AANAT	15	31013	Aanat	  MGI:1328365	  MP:0005379 MP:0003631
AAR2	25980	9170	Aar2	  MGI:1915545	
AARD	441376	17041	Aard	  MGI:2181621	
AARS1	16	1213	Aars	  MGI:2384560	  MP:0005376 MP:0005384 MP:0005369 MP:0005378 MP:0010771 MP:0005386 MP:0003631 MP:0005385 MP:0010768
AARS2	57505	56897	Aars2	  MGI:2681839	  MP:0005387 MP:0005386 MP:0010768 MP:0005385 MP:0005397 MP:0005391
AARSD1	80755	6821	Aarsd1	  MGI:1916934	
AASDH	132949	71711	Aasdh	  MGI:2442517	
AASDHPPT	60496	9130	Aasdhppt	  MGI:1914868	  MP:0010768 MP:0005386
AASS	10157	4212	Aass	  MGI:1353573	  MP:0005376 MP:0005387 MP:0005367 MP:0005390
AATF	26574	40811	Aatf	  MGI:1929608	  MP:0005378 MP:0005384 MP:0005380 MP:0010768
AATK	9625	74861	Aatk	  MGI:1197518	  MP:0003631
ABAT	18	542	Abat	  MGI:2443582	  MP:0010768
ABCA1	19	21130	Abca1	  MGI:99607	  MP:0005381 MP:0003631 MP:0005387 MP:0005367 MP:0005380 MP:0005370 MP:0005388 MP:0005385 MP:0005397 MP:0005389 MP:0010768 MP:0005379 MP:0005369 MP:0005376 MP:0005384 MP:0005378
ABCA12	26154	45441	Abca12	  MGI:2676312	  MP:0005382 MP:0005376 MP:0005384 MP:0005385 MP:0005378 MP:0010768 MP:0010771 MP:0005388 MP:0005386
ABCA13	154664	27991	Abca13	  MGI:2388707	  MP:0005376 MP:0005389 MP:0005397
ABCA17P	650655	86807	Abca17	  MGI:3625331	  MP:0005376
ABCA2	20	55590	Abca2	  MGI:99606	  MP:0005378 MP:0005376 MP:0005386 MP:0010768 MP:0005389 MP:0003631
ABCA3	21	37437	Abca3	  MGI:1351617	  MP:0005385 MP:0010768 MP:0005388 MP:0005386 MP:0005376
ABCA4	24	298	Abca4	  MGI:109424	  MP:0001186 MP:0005397 MP:0005391 MP:0003631 MP:0005390 MP:0005376 MP:0005387
ABCA5	23461	10263	Abca5	  MGI:2386607	  MP:0005391 MP:0005370 MP:0005386 MP:0005385 MP:0010768 MP:0005379 MP:0005369 MP:0005376
ABCA6	23460	71264	Abca6	  MGI:1923434	  MP:0005397 MP:0005376
ABCA7	10347	22783	Abca7	  MGI:1351646	  MP:0005375 MP:0005376 MP:0005385 MP:0005367
ABCA8	10351	131160	Abca8a	  MGI:2386846	
ABCA8	10351	56029	Abca8b	  MGI:1351668	  MP:0005391 MP:0005376
ABCA9	10350	33332	Abca9	  MGI:2386796	  MP:0005386
ABCB1	5243	55496	Abcb1a	  MGI:97570	  MP:0005387 MP:0003631 MP:0005377 MP:0005381 MP:0010768 MP:0005385 MP:0005397 MP:0005386 MP:0005376 MP:0005379 MP:0005378
ABCB10	23456	6474	Abcb10	  MGI:1860508	  MP:0005370 MP:0005380 MP:0005397 MP:0005385 MP:0010768 MP:0010771 MP:0005376 MP:0005384
ABCB11	8647	74509	Abcb11	  MGI:1351619	  MP:0005391 MP:0010768 MP:0005386 MP:0005370 MP:0005388 MP:0005376 MP:0005378
ABCB4	5244	136368	Abcb4	  MGI:97569	  MP:0005370 MP:0002006 MP:0005389 MP:0005397 MP:0005385 MP:0005381 MP:0005390 MP:0005384 MP:0005387 MP:0005376 MP:0005379 MP:0005378
ABCB5	340273	83488	Abcb5	  MGI:1924956	  MP:0005391 MP:0003631 MP:0001186 MP:0005384 MP:0005376
ABCB6	10058	11375	Abcb6	  MGI:1921354	  MP:0010768 MP:0005397 MP:0005384 MP:0005376 MP:0010771
ABCB7	22	3175	Abcb7	  MGI:109533	  MP:0005380 MP:0005370 MP:0010768 MP:0005385 MP:0005376 MP:0005378 MP:0005384
ABCB8	11194	5203	Abcb8	  MGI:1351667	  MP:0005385 MP:0005369 MP:0005376
ABCB9	23457	10491	Abcb9	  MGI:1861729	  MP:0005379
ABCC1	4363	133779	Abcc1	  MGI:102676	  MP:0005376 MP:0005387 MP:0005397 MP:0010768
ABCC10	89845	58616	Abcc10	  MGI:2386976	  MP:0005376 MP:0005379 MP:0010768 MP:0005378 MP:0005397 MP:0005387
ABCC12	94160	57211	Abcc12	  MGI:2441679	
ABCC2	1244	68052	Abcc2	  MGI:1352447	  MP:0005367 MP:0005376 MP:0005370 MP:0005397
