ensembl_gene_id	hsapiens_homolog_associated_gene_name
1	ENSRNOG00000030644	MT-ND1
2	ENSRNOG00000031033	MT-ND2
3	ENSRNOG00000034234	MT-CO1
4	ENSRNOG00000030371	MT-CO2
5	ENSRNOG00000033299	MT-ATP8
6	ENSRNOG00000031979	MT-ATP6
7	ENSRNOG00000030700	MT-CO3
8	ENSRNOG00000033615	MT-ND3
9	ENSRNOG00000031053	MT-ND4L
10	ENSRNOG00000029707	MT-ND4
11	ENSRNOG00000029971	MT-ND5
12	ENSRNOG00000029042	MT-ND6
13	ENSRNOG00000031766	MT-CYB
14	ENSRNOG00000018762	RSPH3
15	ENSRNOG00000000415	ASF1A
16	ENSRNOG00000013102	ENTPD2
17	ENSRNOG00000058883	FAM124B
18	ENSRNOG00000040242	EPM2A
19	ENSRNOG00000007027	HGF
20	ENSRNOG00000035582	MIR26A1
21	ENSRNOG00000014268	ABCA2
22	ENSRNOG00000003508	ERGIC1
23	ENSRNOG00000014185	TKTL2
24	ENSRNOG00000050854	CLCN2
25	ENSRNOG00000033391	ASCL5
26	ENSRNOG00000038902	C8orf59
27	ENSRNOG00000001452	FZD9
28	ENSRNOG00000017462	SPATA5
29	ENSRNOG00000005491	BEST3
30	ENSRNOG00000019804	B3GAT3
31	ENSRNOG00000042286	NSL1
32	ENSRNOG00000003073	GPR161
33	ENSRNOG00000021693	FAM149A
34	ENSRNOG00000005151	DYNC2LI1
35	ENSRNOG00000006703	ZNF398
36	ENSRNOG00000018567	SLC20A1
37	ENSRNOG00000004356	LRRC52
38	ENSRNOG00000025619	AP1G2
39	ENSRNOG00000039601	ELOA3D
40	ENSRNOG00000039601	ELOA3
41	ENSRNOG00000039601	ELOA3B
42	ENSRNOG00000039601	ELOA2
43	ENSRNOG00000039601	ELOA3C
44	ENSRNOG00000003633	RCVRN
45	ENSRNOG00000015444	OR51S1
46	ENSRNOG00000018767	RBM17
47	ENSRNOG00000027506	ZP4
48	ENSRNOG00000019575	RELL2
49	ENSRNOG00000030830	MEX3D
50	ENSRNOG00000001959	MX1
51	ENSRNOG00000009450	HCN4
52	ENSRNOG00000008345	CLCN6
53	ENSRNOG00000012718	ZNF451
54	ENSRNOG00000047085	LRRTM2
55	ENSRNOG00000028248	LCA5L
56	ENSRNOG00000057153	PLA1A
57	ENSRNOG00000001647	ETS2
58	ENSRNOG00000017265	TMEM131
59	ENSRNOG00000009675	CDC42BPB
60	ENSRNOG00000015850	RBP7
61	ENSRNOG00000028865	KPRP
62	ENSRNOG00000010008	POLR3A
63	ENSRNOG00000051788	RNU6-395P
64	ENSRNOG00000034107	C8orf33
65	ENSRNOG00000024780	C17orf80
66	ENSRNOG00000013963	IL6ST
67	ENSRNOG00000016631	ZNF276
68	ENSRNOG00000008519	DIPK2A
69	ENSRNOG00000024331	UPK1A
70	ENSRNOG00000047768	LAMB2
71	ENSRNOG00000015415	RHOQ
72	ENSRNOG00000037217	NUDT17
73	ENSRNOG00000027232	PCDHGA11
74	ENSRNOG00000024801	SLC35A2
75	ENSRNOG00000011492	ZNF878
76	ENSRNOG00000011492	AC022415.2
77	ENSRNOG00000011492	AC008770.4
78	ENSRNOG00000011492	ZNF844
79	ENSRNOG00000026527	SNX32
80	ENSRNOG00000028518	MSGN1
81	ENSRNOG00000015105	BSPRY
82	ENSRNOG00000019212	TPP1
83	ENSRNOG00000020939	MS4A8
84	ENSRNOG00000001430	POLR2J
85	ENSRNOG00000001430	POLR2J2
86	ENSRNOG00000001430	POLR2J3
87	ENSRNOG00000001430	AC105052.3
88	ENSRNOG00000002208	SHROOM3
89	ENSRNOG00000000693	SVOP
90	ENSRNOG00000060066	HOXA6
91	ENSRNOG00000054513	ZMIZ2
92	ENSRNOG00000020182	MVP
93	ENSRNOG00000035571	MIR133B
94	ENSRNOG00000011762	ELF1
95	ENSRNOG00000028130	TAS2R40
96	ENSRNOG00000045816	GRIA1
97	ENSRNOG00000021657	PLD6
98	ENSRNOG00000057043	OR5H8
99	ENSRNOG00000057043	OR5H1
100	ENSRNOG00000057043	OR5H14
101	ENSRNOG00000057043	OR5H15
102	ENSRNOG00000057043	OR5H2
103	ENSRNOG00000057043	OR5H6
104	ENSRNOG00000024707	TP73
105	ENSRNOG00000011634	XKR6
106	ENSRNOG00000011222	DYNLL1
107	ENSRNOG00000028919	ZNF878
108	ENSRNOG00000028919	AC022415.2
109	ENSRNOG00000028919	AC008770.4
110	ENSRNOG00000028919	ZNF844
111	ENSRNOG00000057389	DUSP28
112	ENSRNOG00000032009	C4orf45
113	ENSRNOG00000026941	TRIL
114	ENSRNOG00000010846	CCDC22
115	ENSRNOG00000046516	OR7E24
116	ENSRNOG00000026503	XRRA1
117	ENSRNOG00000006139	STX18
118	ENSRNOG00000050553	ATP6V1C2
119	ENSRNOG00000004505	NFIC
120	ENSRNOG00000056144	OR14A2
121	ENSRNOG00000019019	FITM1
122	ENSRNOG00000006353	LARGE2
123	ENSRNOG00000050514	NDUFA3
124	ENSRNOG00000013855	ZMYM1
125	ENSRNOG00000046227	TPRG1L
126	ENSRNOG00000018047	GORASP1
127	ENSRNOG00000054828	IGKV1-39
128	ENSRNOG00000054828	IGKV1-17
129	ENSRNOG00000054828	IGKV1D-17
130	ENSRNOG00000054828	IGKV1D-16
131	ENSRNOG00000054828	IGKV1D-12
132	ENSRNOG00000054828	IGKV1D-39
133	ENSRNOG00000054828	IGKV1D-43
134	ENSRNOG00000054828	IGKV1-12
135	ENSRNOG00000054828	IGKV1-9
136	ENSRNOG00000054828	IGKV1-5
137	ENSRNOG00000054828	IGKV1D-42
138	ENSRNOG00000054828	IGKV1D-8
139	ENSRNOG00000054828	IGKV1D-13
140	ENSRNOG00000054828	IGKV1-16
141	ENSRNOG00000054828	IGKV1D-37
142	ENSRNOG00000054828	IGKV1-8
143	ENSRNOG00000054828	IGKV1-6
144	ENSRNOG00000054828	IGKV1-37
145	ENSRNOG00000054668	RNU6-956P
146	ENSRNOG00000060665	AFAP1
147	ENSRNOG00000014230	MAP1A
148	ENSRNOG00000055607	RNU6-769P
149	ENSRNOG00000055607	RNU6-726P
150	ENSRNOG00000055607	RNU6-809P
151	ENSRNOG00000055607	RNU6-481P
152	ENSRNOG00000001592	CCT8
153	ENSRNOG00000025938	LIN28B
154	ENSRNOG00000001928	IL1RAP
155	ENSRNOG00000008680	LOXL1
156	ENSRNOG00000033372	KLHL24
157	ENSRNOG00000049797	PDCD1
158	ENSRNOG00000049482	TRAV23DV6
159	ENSRNOG00000007359	GCA
160	ENSRNOG00000048837	SLCO6A1
161	ENSRNOG00000004588	ZBED4
162	ENSRNOG00000050654	OR8H2
163	ENSRNOG00000050654	OR8H1
164	ENSRNOG00000050654	OR8H3
165	ENSRNOG00000022890	C1orf141
166	ENSRNOG00000029773	ATM
167	ENSRNOG00000004649	IL1B
168	ENSRNOG00000052232	CYB561D1
169	ENSRNOG00000050521	TSPO2
170	ENSRNOG00000037124	FAM227B
171	ENSRNOG00000045918	JARID2
172	ENSRNOG00000014834	EPC1
173	ENSRNOG00000003357	COL3A1
174	ENSRNOG00000020460	BANF1
175	ENSRNOG00000046741	ITSN2
176	ENSRNOG00000013225	CRISP2
177	ENSRNOG00000019592	IQCA1
178	ENSRNOG00000011745	PSMA1
179	ENSRNOG00000001271	CARD6
180	ENSRNOG00000020821	CLIP3
181	ENSRNOG00000021274	FERMT1
182	ENSRNOG00000014187	IGF1R
183	ENSRNOG00000016100	TBCA
184	ENSRNOG00000004438	CNTN1
185	ENSRNOG00000000963	TMEM132C
186	ENSRNOG00000042229	GIMAP1
187	ENSRNOG00000009431	TBC1D4
188	ENSRNOG00000014743	HAGH
189	ENSRNOG00000010821	ANKRD54
190	ENSRNOG00000015304	TMEM160
191	ENSRNOG00000015359	ARHGAP40
192	ENSRNOG00000013906	GPAT2
193	ENSRNOG00000054681	POTEA
194	ENSRNOG00000054681	POTEJ
195	ENSRNOG00000054681	POTEI
196	ENSRNOG00000054681	POTEE
197	ENSRNOG00000054681	POTEF
198	ENSRNOG00000054681	POTEM
199	ENSRNOG00000054681	POTEG
200	ENSRNOG00000054681	POTEH
201	ENSRNOG00000054681	POTEB3
202	ENSRNOG00000054681	AC136352.2
203	ENSRNOG00000054681	BX072566.1
204	ENSRNOG00000054681	POTED
205	ENSRNOG00000054681	POTEC
206	ENSRNOG00000054681	POTEB
207	ENSRNOG00000054681	POTEB2
208	ENSRNOG00000022669	CD177
209	ENSRNOG00000010492	SP2
210	ENSRNOG00000048917	HOXA6
211	ENSRNOG00000008518	GSG1
212	ENSRNOG00000001964	CD47
213	ENSRNOG00000015636	WDR34
214	ENSRNOG00000021578	WFIKKN1
215	ENSRNOG00000013241	AL583836.1
216	ENSRNOG00000013241	CYP2C18
217	ENSRNOG00000046040	OR2AK2
218	ENSRNOG00000019177	PSD2
219	ENSRNOG00000008394	AP000781.2
220	ENSRNOG00000008394	PRG2
221	ENSRNOG00000045989	HBA2
222	ENSRNOG00000045989	HBA1
223	ENSRNOG00000005730	PCMTD1
224	ENSRNOG00000004192	ARHGAP30
225	ENSRNOG00000006004	PHC2
226	ENSRNOG00000027938	JCAD
227	ENSRNOG00000013103	LDHC
228	ENSRNOG00000006033	SPON2
229	ENSRNOG00000013110	NUDT2
230	ENSRNOG00000017963	ZNF195
231	ENSRNOG00000011471	FGF9
232	ENSRNOG00000014288	FN1
233	ENSRNOG00000026898	AL033529.1
234	ENSRNOG00000026898	ZBTB8B
235	ENSRNOG00000000104	THOC3
236	ENSRNOG00000006068	TMEM117
237	ENSRNOG00000053812	SELENBP1
238	ENSRNOG00000015416	NABP1
239	ENSRNOG00000015716	GP2
240	ENSRNOG00000032552	ZNF433
241	ENSRNOG00000015235	FRA10AC1
242	ENSRNOG00000031769	CHCHD7
243	ENSRNOG00000015502	MFSD14A
244	ENSRNOG00000009773	ELOVL4
245	ENSRNOG00000017876	DNAJC21
246	ENSRNOG00000004521	PRPF39
247	ENSRNOG00000014154	ILF2
248	ENSRNOG00000021913	NLRP9
249	ENSRNOG00000002657	PLA2G4A
250	ENSRNOG00000021085	SF1
251	ENSRNOG00000013889	TMED3
252	ENSRNOG00000026157	PNPLA4
253	ENSRNOG00000013372	SHISAL2B
254	ENSRNOG00000017113	CCNT2
255	ENSRNOG00000024630	IGSF23
256	ENSRNOG00000016638	GNB1
257	ENSRNOG00000011909	RASA2
258	ENSRNOG00000010930	USP39
259	ENSRNOG00000009564	PRR15
260	ENSRNOG00000014282	CEBPE
261	ENSRNOG00000047314	TK1
262	ENSRNOG00000011178	LRP2BP
263	ENSRNOG00000020066	PCDHB5
264	ENSRNOG00000005045	PPP2R5E
265	ENSRNOG00000007038	CNTN5
266	ENSRNOG00000051946	RNU6-516P
267	ENSRNOG00000051946	RNU6-1077P
268	ENSRNOG00000051946	RNU6-1090P
269	ENSRNOG00000051946	RNU6-383P
270	ENSRNOG00000051946	RNU6-298P
271	ENSRNOG00000012604	SWSAP1
272	ENSRNOG00000021119	AC092073.1
273	ENSRNOG00000021119	PDCD2L
274	ENSRNOG00000016687	SSC5D
275	ENSRNOG00000057537	SNORA5C
276	ENSRNOG00000055519	ZFP30
277	ENSRNOG00000051929	PHOX2B
278	ENSRNOG00000061218	OR2W1
279	ENSRNOG00000003866	CXCR4
280	ENSRNOG00000061526	RSPH6A
281	ENSRNOG00000036260	MIR497
282	ENSRNOG00000035461	MIRLET7A3
283	ENSRNOG00000023951	TBC1D30
284	ENSRNOG00000052873	NPNT
285	ENSRNOG00000059245	RAD51B
286	ENSRNOG00000020411	SEC23IP
287	ENSRNOG00000000979	BRI3BP
288	ENSRNOG00000025745	GPR17
289	ENSRNOG00000031208	MGAT1
290	ENSRNOG00000013969	AHI1
291	ENSRNOG00000019243	GLB1L
292	ENSRNOG00000016177	SCARA3
293	ENSRNOG00000029558	PABPN1L
294	ENSRNOG00000007680	FHL5
295	ENSRNOG00000056611	RNU6-1135P
296	ENSRNOG00000002134	GBP6
297	ENSRNOG00000052775	C5orf51
298	ENSRNOG00000060631	RNU6-1075P
299	ENSRNOG00000010516	PLAU
300	ENSRNOG00000047493	SLCO1A2
301	ENSRNOG00000017348	IL2
302	ENSRNOG00000004421	RXYLT1
303	ENSRNOG00000038758	DEFB135
304	ENSRNOG00000031485	DPP3
305	ENSRNOG00000001090	STARD13
306	ENSRNOG00000007256	NECAB1
307	ENSRNOG00000059727	RNU6-873P
308	ENSRNOG00000028299	TRIML2
309	ENSRNOG00000008800	OR11H6
310	ENSRNOG00000004075	CCDC42
311	ENSRNOG00000047712	DCX
312	ENSRNOG00000056772	COL4A6
313	ENSRNOG00000058435	RNU1-143P
314	ENSRNOG00000058435	RF00003
315	ENSRNOG00000058435	RNU1-5P
316	ENSRNOG00000058435	RNU1-6P
317	ENSRNOG00000058435	RNU1-68P
318	ENSRNOG00000058435	RNU1-49P
319	ENSRNOG00000053060	ZFC3H1
320	ENSRNOG00000003931	ARSG
321	ENSRNOG00000025608	LRAT
322	ENSRNOG00000007345	AMOT
323	ENSRNOG00000026564	PTPDC1
324	ENSRNOG00000015117	LRRC39
325	ENSRNOG00000007663	RPS6
326	ENSRNOG00000058151	KRTAP4-5
327	ENSRNOG00000058151	KRTAP10-6
328	ENSRNOG00000058151	KRTAP10-9
329	ENSRNOG00000058151	KRTAP10-11
330	ENSRNOG00000058151	KRTAP10-4
331	ENSRNOG00000015895	B4GALT6
332	ENSRNOG00000014838	GLIPR2
333	ENSRNOG00000058149	RNU1-141P
334	ENSRNOG00000017130	RHCE
335	ENSRNOG00000017130	RHD
336	ENSRNOG00000037795	LDLRAD1
337	ENSRNOG00000035854	RNA5SP150
338	ENSRNOG00000055928	RNU6-595P
339	ENSRNOG00000018940	SLC28A1
340	ENSRNOG00000052376	BEND6
341	ENSRNOG00000003620	FMO3
342	ENSRNOG00000013867	FGF1
343	ENSRNOG00000021041	FAM171A2
344	ENSRNOG00000058257	RNU6-118P
345	ENSRNOG00000015669	KCTD11
346	ENSRNOG00000011330	CES2
347	ENSRNOG00000007493	XRCC2
348	ENSRNOG00000058875	RNU6-129P
349	ENSRNOG00000051714	RF00156
350	ENSRNOG00000017737	DGKZ
351	ENSRNOG00000010714	FGL1
352	ENSRNOG00000059528	RNU6-57P
353	ENSRNOG00000012965	THEMIS2
354	ENSRNOG00000031440	NOVA1
355	ENSRNOG00000025100	IKBKE
356	ENSRNOG00000014658	ZNF423
357	ENSRNOG00000001243	ZCCHC8
358	ENSRNOG00000020620	PPP1R32
359	ENSRNOG00000010805	FABP4
360	ENSRNOG00000004632	PMCH
361	ENSRNOG00000048130	PFKFB4
362	ENSRNOG00000055845	RF00493
